question_number,category,question_length,is_numerical,used_rag,reason,tokens_generated,tool_calls
6.3.8,complex,59,False,True,"Complex question, RAG triggered",8,1
7.4.4,complex,39,False,True,"Complex question, RAG triggered",8,1
7.4.6,complex,64,False,True,"Complex question, RAG triggered",8,1
7.4.8,complex,176,False,True,"Complex question, RAG triggered",8,1
7.4.10,complex,91,False,True,"Complex question, RAG triggered",8,1
8.5.6,complex,87,False,True,"Complex question, RAG triggered",8,1
8.5.8,simple,13,False,False,"Simple question, direct generation",5,0
8.5.12,complex,62,False,True,"Complex question, RAG triggered",8,1
8.5.14,complex,23,False,True,"Complex question, RAG triggered",8,1
8.5.16,complex,98,False,True,"Complex question, RAG triggered",8,1
8.5.18,simple,14,False,False,"Simple question, direct generation",5,0
9.5.2,complex,35,False,True,"Complex question, RAG triggered",8,1
9.5.4,complex,31,False,True,"Complex question, RAG triggered",8,1
9.5.6,simple,7,False,False,"Simple question, direct generation",5,0
9.5.8,complex,56,False,True,"Complex question, RAG triggered",8,1
9.5.10,complex,49,False,True,"Complex question, RAG triggered",8,1
9.5.12,complex,29,False,True,"Complex question, RAG triggered",8,1
9.5.14,complex,63,False,True,"Complex question, RAG triggered",8,1
9.5.16,complex,36,False,True,"Complex question, RAG triggered",8,1
10.3.4,complex,34,False,True,"Complex question, RAG triggered",8,1
10.3.10,complex,100,False,True,"Complex question, RAG triggered",8,1
11.5.8,simple,11,False,False,"Simple question, direct generation",5,0
11.5.10,simple,11,False,False,"Simple question, direct generation",5,0
11.5.12,complex,79,False,True,"Complex question, RAG triggered",8,1
11.5.14,complex,49,False,True,"Complex question, RAG triggered",8,1
11.5.16,complex,34,False,True,"Complex question, RAG triggered",8,1
11.5.18,complex,63,False,True,"Complex question, RAG triggered",8,1
12.3.2,complex,25,False,True,"Complex question, RAG triggered",8,1
12.3.4,complex,56,False,True,"Complex question, RAG triggered",8,1
12.3.6,complex,98,False,True,"Complex question, RAG triggered",8,1
12.3.8,complex,40,False,True,"Complex question, RAG triggered",8,1
12.3.10,complex,35,False,True,"Complex question, RAG triggered",8,1
13.4.2,complex,32,False,True,"Complex question, RAG triggered",8,1
13.4.6,complex,28,False,True,"Complex question, RAG triggered",8,1
13.4.8,simple,11,False,False,"Simple question, direct generation",5,0
13.4.10,complex,22,False,True,"Complex question, RAG triggered",8,1
13.4.12,complex,46,False,True,"Complex question, RAG triggered",8,1
14.4.2,complex,25,False,True,"Complex question, RAG triggered",8,1
14.4.4,complex,65,False,True,"Complex question, RAG triggered",8,1
14.4.6,complex,92,False,True,"Complex question, RAG triggered",8,1
14.4.8,complex,83,False,True,"Complex question, RAG triggered",8,1
14.4.10,complex,75,False,True,"Complex question, RAG triggered",8,1
14.4.12,complex,26,False,True,"Complex question, RAG triggered",8,1
14.4.14,simple,14,False,False,"Simple question, direct generation",5,0
14.4.16,complex,94,False,True,"Complex question, RAG triggered",8,1
14.4.18,complex,115,False,True,"Complex question, RAG triggered",8,1
14.4.20,complex,99,False,True,"Complex question, RAG triggered",8,1
15.1.6,complex,54,False,True,"Complex question, RAG triggered",8,1
15.2.4,complex,71,False,True,"Complex question, RAG triggered",8,1
15.2.6,complex,66,False,True,"Complex question, RAG triggered",8,1
15.2.8,complex,39,False,True,"Complex question, RAG triggered",8,1
15.2.10,complex,48,False,True,"Complex question, RAG triggered",8,1
15.2.12,complex,25,False,True,"Complex question, RAG triggered",8,1
15.3.8,complex,48,False,True,"Complex question, RAG triggered",8,1
15.3.12,complex,70,False,True,"Complex question, RAG triggered",8,1
15.4.4,complex,64,False,True,"Complex question, RAG triggered",8,1
15.4.6,complex,95,False,True,"Complex question, RAG triggered",8,1
15.5.2,complex,57,False,True,"Complex question, RAG triggered",8,1
15.6.8,complex,143,False,True,"Complex question, RAG triggered",8,1
15.6.10,complex,60,False,True,"Complex question, RAG triggered",8,1
15.6.12,complex,66,False,True,"Complex question, RAG triggered",8,1
15.7.2,complex,65,False,True,"Complex question, RAG triggered",8,1
15.8.6,simple,8,False,False,"Simple question, direct generation",5,0
15.8.8,complex,53,False,True,"Complex question, RAG triggered",8,1
1,complex,26,False,True,"Complex question, RAG triggered",8,1
2,complex,55,False,True,"Complex question, RAG triggered",8,1
3,complex,41,False,True,"Complex question, RAG triggered",8,1
4,complex,53,False,True,"Complex question, RAG triggered",8,1
5,complex,36,False,True,"Complex question, RAG triggered",8,1
6,simple,14,False,False,"Simple question, direct generation",5,0
7,complex,31,False,True,"Complex question, RAG triggered",8,1
8,complex,59,False,True,"Complex question, RAG triggered",8,1
9,complex,37,False,True,"Complex question, RAG triggered",8,1
10,complex,50,False,True,"Complex question, RAG triggered",8,1
11,complex,35,False,True,"Complex question, RAG triggered",8,1
12,complex,46,True,True,"Complex question, RAG triggered",8,1
13,complex,34,True,True,"Complex question, RAG triggered",8,1
14,complex,38,False,True,"Complex question, RAG triggered",8,1
15,complex,54,True,True,"Complex question, RAG triggered",8,1
16,complex,37,False,True,"Complex question, RAG triggered",8,1
17,complex,35,True,True,"Complex question, RAG triggered",8,1
18,complex,31,False,True,"Complex question, RAG triggered",8,1
19,complex,26,False,True,"Complex question, RAG triggered",8,1
20,complex,25,True,True,"Complex question, RAG triggered",8,1
21,complex,44,True,True,"Complex question, RAG triggered",8,1
22,complex,38,True,True,"Complex question, RAG triggered",8,1
23,complex,34,False,True,"Complex question, RAG triggered",8,1
24,complex,28,False,True,"Complex question, RAG triggered",8,1
25,complex,35,False,True,"Complex question, RAG triggered",8,1
26,complex,27,True,True,"Complex question, RAG triggered",8,1
27,complex,35,True,True,"Complex question, RAG triggered",8,1
28,complex,28,False,True,"Complex question, RAG triggered",8,1
29,complex,33,False,True,"Complex question, RAG triggered",8,1
30,complex,34,False,True,"Complex question, RAG triggered",8,1
31,complex,53,True,True,"Complex question, RAG triggered",8,1
32,complex,52,False,True,"Complex question, RAG triggered",8,1
33,complex,31,True,True,"Complex question, RAG triggered",8,1
34,complex,36,False,True,"Complex question, RAG triggered",8,1
35,complex,24,False,True,"Complex question, RAG triggered",8,1
36,complex,27,False,True,"Complex question, RAG triggered",8,1
37,complex,38,False,True,"Complex question, RAG triggered",8,1
38,complex,36,True,True,"Complex question, RAG triggered",8,1
39,complex,36,True,True,"Complex question, RAG triggered",8,1
40,complex,25,False,True,"Complex question, RAG triggered",8,1
41,complex,26,False,True,"Complex question, RAG triggered",8,1
42,simple,17,False,False,"Simple question, direct generation",5,0
43,complex,31,True,True,"Complex question, RAG triggered",8,1
44,complex,40,False,True,"Complex question, RAG triggered",8,1
45,complex,25,True,True,"Complex question, RAG triggered",8,1
46,complex,25,True,True,"Complex question, RAG triggered",8,1
1.11.1,complex,33,True,True,"Complex question, RAG triggered",8,1
1.11.2,simple,10,False,False,"Simple question, direct generation",5,0
1.11.3,simple,18,False,False,"Simple question, direct generation",5,0
1.11.4,simple,9,False,False,"Simple question, direct generation",5,0
1.11.5,complex,45,False,True,"Complex question, RAG triggered",8,1
1.11.6,complex,47,False,True,"Complex question, RAG triggered",8,1
1.11.7,complex,28,True,True,"Complex question, RAG triggered",8,1
1.11.8,complex,27,True,True,"Complex question, RAG triggered",8,1
1.11.9,complex,25,False,True,"Complex question, RAG triggered",8,1
1.11.10,complex,31,False,True,"Complex question, RAG triggered",8,1
1.11.11,complex,38,True,True,"Complex question, RAG triggered",8,1
1.11.12,complex,29,False,True,"Complex question, RAG triggered",8,1
1.11.14,complex,46,False,True,"Complex question, RAG triggered",8,1
1.11.15,complex,44,False,True,"Complex question, RAG triggered",8,1
1.11.16,complex,65,False,True,"Complex question, RAG triggered",8,1
1.11.17,complex,53,False,True,"Complex question, RAG triggered",8,1
1.11.18,complex,40,False,True,"Complex question, RAG triggered",8,1
1.11.19,complex,39,False,True,"Complex question, RAG triggered",8,1
2.6.1,complex,27,False,True,"Complex question, RAG triggered",8,1
2.6.2,complex,57,False,True,"Complex question, RAG triggered",8,1
2.6.3,complex,36,False,True,"Complex question, RAG triggered",8,1
2.6.4,complex,24,False,True,"Complex question, RAG triggered",8,1
2.6.5,complex,41,False,True,"Complex question, RAG triggered",8,1
2.6.6,complex,63,False,True,"Complex question, RAG triggered",8,1
2.6.7,complex,48,False,True,"Complex question, RAG triggered",8,1
2.6.8,complex,69,False,True,"Complex question, RAG triggered",8,1
2.6.9,complex,26,False,True,"Complex question, RAG triggered",8,1
2.6.10,complex,52,False,True,"Complex question, RAG triggered",8,1
3.6.1,complex,59,False,True,"Complex question, RAG triggered",8,1
3.6.2,complex,49,False,True,"Complex question, RAG triggered",8,1
3.6.3,complex,26,False,True,"Complex question, RAG triggered",8,1
3.6.4,complex,25,False,True,"Complex question, RAG triggered",8,1
3.6.5,complex,27,False,True,"Complex question, RAG triggered",8,1
3.6.7,complex,27,False,True,"Complex question, RAG triggered",8,1
3.6.8,complex,29,False,True,"Complex question, RAG triggered",8,1
3.6.9,complex,52,True,True,"Complex question, RAG triggered",8,1
3.6.10,simple,15,False,False,"Simple question, direct generation",5,0
3.6.11,complex,20,False,True,"Complex question, RAG triggered",8,1
3.6.12,complex,37,False,True,"Complex question, RAG triggered",8,1
3.6.13,simple,18,False,False,"Simple question, direct generation",5,0
3.6.14,complex,31,False,True,"Complex question, RAG triggered",8,1
3.6.15,complex,47,False,True,"Complex question, RAG triggered",8,1
3.6.16,complex,62,False,True,"Complex question, RAG triggered",8,1
4.5.1,complex,38,False,True,"Complex question, RAG triggered",8,1
4.5.2,complex,20,False,True,"Complex question, RAG triggered",8,1
4.5.3,complex,41,False,True,"Complex question, RAG triggered",8,1
4.5.4,complex,33,False,True,"Complex question, RAG triggered",8,1
4.5.5,complex,49,False,True,"Complex question, RAG triggered",8,1
4.5.6,complex,32,False,True,"Complex question, RAG triggered",8,1
4.5.7,complex,49,False,True,"Complex question, RAG triggered",8,1
4.5.8,complex,53,False,True,"Complex question, RAG triggered",8,1
4.5.9,complex,52,False,True,"Complex question, RAG triggered",8,1
4.5.10,complex,77,False,True,"Complex question, RAG triggered",8,1
4.5.11,complex,80,False,True,"Complex question, RAG triggered",8,1
5.8.1,complex,35,False,True,"Complex question, RAG triggered",8,1
5.8.2,complex,40,False,True,"Complex question, RAG triggered",8,1
5.8.3,complex,41,False,True,"Complex question, RAG triggered",8,1
5.8.4,simple,18,False,False,"Simple question, direct generation",5,0
5.8.5,complex,23,False,True,"Complex question, RAG triggered",8,1
5.8.6,complex,34,False,True,"Complex question, RAG triggered",8,1
5.8.7,simple,17,False,False,"Simple question, direct generation",5,0
5.8.8,complex,20,False,True,"Complex question, RAG triggered",8,1
5.8.9,complex,43,False,True,"Complex question, RAG triggered",8,1
5.8.10,complex,21,False,True,"Complex question, RAG triggered",8,1
5.8.13,complex,37,False,True,"Complex question, RAG triggered",8,1
5.8.14,complex,20,False,True,"Complex question, RAG triggered",8,1
6.9.1,complex,37,False,True,"Complex question, RAG triggered",8,1
6.9.2,complex,29,False,True,"Complex question, RAG triggered",8,1
6.9.3,complex,33,True,True,"Complex question, RAG triggered",8,1
6.9.4,complex,27,False,True,"Complex question, RAG triggered",8,1
6.9.5,complex,38,False,True,"Complex question, RAG triggered",8,1
6.9.6,complex,44,False,True,"Complex question, RAG triggered",8,1
6.9.7,complex,40,False,True,"Complex question, RAG triggered",8,1
6.9.8,complex,24,False,True,"Complex question, RAG triggered",8,1
6.9.9,complex,21,False,True,"Complex question, RAG triggered",8,1
6.9.10,complex,41,False,True,"Complex question, RAG triggered",8,1
6.9.11,complex,36,False,True,"Complex question, RAG triggered",8,1
6.9.12,complex,37,False,True,"Complex question, RAG triggered",8,1
6.9.13,complex,31,False,True,"Complex question, RAG triggered",8,1
6.9.14,complex,35,False,True,"Complex question, RAG triggered",8,1
6.9.15,complex,24,False,True,"Complex question, RAG triggered",8,1
6.9.16,complex,32,False,True,"Complex question, RAG triggered",8,1
6.9.17,complex,42,False,True,"Complex question, RAG triggered",8,1
6.9.18,complex,37,False,True,"Complex question, RAG triggered",8,1
6.9.19,complex,46,False,True,"Complex question, RAG triggered",8,1
6.9.20,complex,33,False,True,"Complex question, RAG triggered",8,1
6.9.21,complex,28,False,True,"Complex question, RAG triggered",8,1
6.9.22,complex,64,False,True,"Complex question, RAG triggered",8,1
6.9.24,complex,62,False,True,"Complex question, RAG triggered",8,1
6.9.25,complex,39,False,True,"Complex question, RAG triggered",8,1
6.9.26,complex,33,False,True,"Complex question, RAG triggered",8,1
6.9.27,complex,55,False,True,"Complex question, RAG triggered",8,1
6.9.28,complex,60,True,True,"Complex question, RAG triggered",8,1
7.7.1,complex,45,False,True,"Complex question, RAG triggered",8,1
7.7.2,complex,31,False,True,"Complex question, RAG triggered",8,1
7.7.3,complex,36,False,True,"Complex question, RAG triggered",8,1
7.7.4,simple,14,False,False,"Simple question, direct generation",5,0
7.7.5,complex,27,False,True,"Complex question, RAG triggered",8,1
7.7.6,simple,19,False,False,"Simple question, direct generation",5,0
7.7.7,complex,44,False,True,"Complex question, RAG triggered",8,1
7.7.8,complex,27,False,True,"Complex question, RAG triggered",8,1
7.7.9,complex,51,False,True,"Complex question, RAG triggered",8,1
7.7.10,complex,47,False,True,"Complex question, RAG triggered",8,1
7.7.11,complex,32,False,True,"Complex question, RAG triggered",8,1
7.7.12,complex,26,False,True,"Complex question, RAG triggered",8,1
7.7.13,complex,28,False,True,"Complex question, RAG triggered",8,1
7.7.14,complex,22,False,True,"Complex question, RAG triggered",8,1
7.7.15,complex,35,False,True,"Complex question, RAG triggered",8,1
7.7.16,complex,23,False,True,"Complex question, RAG triggered",8,1
7.7.17,complex,25,False,True,"Complex question, RAG triggered",8,1
7.7.18,complex,21,False,True,"Complex question, RAG triggered",8,1
7.7.19,complex,34,False,True,"Complex question, RAG triggered",8,1
7.7.20,complex,27,False,True,"Complex question, RAG triggered",8,1
7.7.21,complex,23,False,True,"Complex question, RAG triggered",8,1
7.7.22,complex,24,False,True,"Complex question, RAG triggered",8,1
7.7.23,complex,27,False,True,"Complex question, RAG triggered",8,1
7.7.24,complex,24,False,True,"Complex question, RAG triggered",8,1
7.7.25,complex,29,False,True,"Complex question, RAG triggered",8,1
7.7.26,simple,19,False,False,"Simple question, direct generation",5,0
7.7.27,complex,26,False,True,"Complex question, RAG triggered",8,1
7.7.28,complex,29,False,True,"Complex question, RAG triggered",8,1
8.6.1,complex,49,False,True,"Complex question, RAG triggered",8,1
8.6.2,complex,40,False,True,"Complex question, RAG triggered",8,1
8.6.3,simple,16,False,False,"Simple question, direct generation",5,0
8.6.5,simple,17,False,False,"Simple question, direct generation",5,0
8.6.7,complex,29,False,True,"Complex question, RAG triggered",8,1
8.6.10,complex,29,False,True,"Complex question, RAG triggered",8,1
8.6.11,complex,34,False,True,"Complex question, RAG triggered",8,1
8.6.14,complex,37,False,True,"Complex question, RAG triggered",8,1
,simple,15,False,False,"Simple question, direct generation",5,0
,simple,9,False,False,"Simple question, direct generation",5,0
,simple,8,False,False,"Simple question, direct generation",5,0
,simple,10,False,False,"Simple question, direct generation",5,0
,simple,9,False,False,"Simple question, direct generation",5,0
,simple,11,True,False,"Simple question, direct generation",5,0
,simple,16,False,False,"Simple question, direct generation",5,0
,simple,15,False,False,"Simple question, direct generation",5,0
,simple,10,False,False,"Simple question, direct generation",5,0
,simple,7,False,False,"Simple question, direct generation",5,0
,simple,11,False,False,"Simple question, direct generation",5,0
,simple,13,False,False,"Simple question, direct generation",5,0
,simple,12,False,False,"Simple question, direct generation",5,0
,simple,11,False,False,"Simple question, direct generation",5,0
,simple,6,False,False,"Simple question, direct generation",5,0
,simple,9,False,False,"Simple question, direct generation",5,0
,simple,11,False,False,"Simple question, direct generation",5,0
,simple,12,False,False,"Simple question, direct generation",5,0
,simple,12,False,False,"Simple question, direct generation",5,0
,complex,21,True,True,"Complex question, RAG triggered",8,1
,complex,21,True,True,"Complex question, RAG triggered",8,1
,simple,17,True,False,"Simple question, direct generation",5,0
,complex,31,False,True,"Complex question, RAG triggered",8,1
,complex,27,True,True,"Complex question, RAG triggered",8,1
,complex,43,True,True,"Complex question, RAG triggered",8,1
,complex,48,True,True,"Complex question, RAG triggered",8,1
,complex,56,True,True,"Complex question, RAG triggered",8,1
3.2,complex,31,True,True,"Complex question, RAG triggered",8,1
3.4,simple,13,True,False,"Simple question, direct generation",5,0
3.6,complex,33,True,True,"Complex question, RAG triggered",8,1
3.7,simple,12,True,False,"Simple question, direct generation",5,0
3.9,simple,12,True,False,"Simple question, direct generation",5,0
3.11,simple,12,True,False,"Simple question, direct generation",5,0
3.13,simple,18,True,False,"Simple question, direct generation",5,0
3.15,simple,12,True,False,"Simple question, direct generation",5,0
3.17,simple,12,True,False,"Simple question, direct generation",5,0
3.19,simple,15,True,False,"Simple question, direct generation",5,0
3.21,simple,16,True,False,"Simple question, direct generation",5,0
3.23,complex,24,True,True,"Complex question, RAG triggered",8,1
3.41,simple,14,True,False,"Simple question, direct generation",5,0
3.43,simple,17,True,False,"Simple question, direct generation",5,0
3.44,simple,12,True,False,"Simple question, direct generation",5,0
3.45,simple,12,True,False,"Simple question, direct generation",5,0
3.46,simple,16,True,False,"Simple question, direct generation",5,0
3.48,simple,14,True,False,"Simple question, direct generation",5,0
3.50,simple,12,False,False,"Simple question, direct generation",5,0
3.51,simple,14,True,False,"Simple question, direct generation",5,0
3.53,simple,13,False,False,"Simple question, direct generation",5,0
3.55,simple,16,True,False,"Simple question, direct generation",5,0
3.57,simple,14,False,False,"Simple question, direct generation",5,0
3.60,complex,24,True,True,"Complex question, RAG triggered",8,1
3.61,simple,10,True,False,"Simple question, direct generation",5,0
3.62,complex,29,True,True,"Complex question, RAG triggered",8,1
3.64,complex,29,True,True,"Complex question, RAG triggered",8,1
2,simple,16,True,False,"Simple question, direct generation",5,0
3,simple,18,True,False,"Simple question, direct generation",5,0
5,simple,9,True,False,"Simple question, direct generation",5,0
7,simple,13,True,False,"Simple question, direct generation",5,0
9,simple,9,True,False,"Simple question, direct generation",5,0
13,simple,8,False,False,"Simple question, direct generation",5,0
17,simple,13,True,False,"Simple question, direct generation",5,0
19,simple,9,True,False,"Simple question, direct generation",5,0
21,simple,8,False,False,"Simple question, direct generation",5,0
25,simple,14,True,False,"Simple question, direct generation",5,0
27,simple,16,True,False,"Simple question, direct generation",5,0
28,simple,8,False,False,"Simple question, direct generation",5,0
31,simple,14,True,False,"Simple question, direct generation",5,0
33,simple,11,True,False,"Simple question, direct generation",5,0
5,simple,11,True,False,"Simple question, direct generation",5,0
6,simple,15,True,False,"Simple question, direct generation",5,0
7,simple,15,True,False,"Simple question, direct generation",5,0
8,simple,13,True,False,"Simple question, direct generation",5,0
9,complex,20,True,True,"Complex question, RAG triggered",8,1
10,complex,24,True,True,"Complex question, RAG triggered",8,1
11,complex,27,True,True,"Complex question, RAG triggered",8,1
15,complex,24,True,True,"Complex question, RAG triggered",8,1
16,simple,6,False,False,"Simple question, direct generation",5,0
17,simple,11,False,False,"Simple question, direct generation",5,0
18,simple,11,True,False,"Simple question, direct generation",5,0
21,simple,7,True,False,"Simple question, direct generation",5,0
22,simple,9,True,False,"Simple question, direct generation",5,0
23,simple,6,True,False,"Simple question, direct generation",5,0
24,simple,10,True,False,"Simple question, direct generation",5,0
25,complex,27,True,True,"Complex question, RAG triggered",8,1
6.1.1,complex,22,False,True,"Complex question, RAG triggered",8,1
6.1.2,simple,18,True,False,"Simple question, direct generation",5,0
6.1.5,simple,17,True,False,"Simple question, direct generation",5,0
6.1.6,complex,21,True,True,"Complex question, RAG triggered",8,1
6.1.7,complex,26,True,True,"Complex question, RAG triggered",8,1
6.1.11,complex,20,True,True,"Complex question, RAG triggered",8,1
6.1.13,complex,20,True,True,"Complex question, RAG triggered",8,1
6.1.15,complex,22,True,True,"Complex question, RAG triggered",8,1
6.1.17,complex,22,True,True,"Complex question, RAG triggered",8,1
6.1.18,complex,22,True,True,"Complex question, RAG triggered",8,1
6.1.19,complex,27,True,True,"Complex question, RAG triggered",8,1
6.1.31,simple,18,True,False,"Simple question, direct generation",5,0
6.1.35,complex,23,False,True,"Complex question, RAG triggered",8,1
6.1.36,complex,23,True,True,"Complex question, RAG triggered",8,1
6.2.41,complex,37,False,True,"Complex question, RAG triggered",8,1
6.2.49,complex,23,True,True,"Complex question, RAG triggered",8,1
6.2.51,complex,21,True,True,"Complex question, RAG triggered",8,1
6.2.53,simple,18,True,False,"Simple question, direct generation",5,0
6.2.55,complex,24,True,True,"Complex question, RAG triggered",8,1
6.2.57.b,complex,43,True,True,"Complex question, RAG triggered",8,1
6.2.58.b,simple,15,True,False,"Simple question, direct generation",5,0
6.2.59.b,simple,15,True,False,"Simple question, direct generation",5,0
6.1.60,complex,27,True,True,"Complex question, RAG triggered",8,1
6.1.61,complex,30,True,True,"Complex question, RAG triggered",8,1
6.1.63.a,complex,22,True,True,"Complex question, RAG triggered",8,1
6.1.63.b,complex,22,True,True,"Complex question, RAG triggered",8,1
6.1.63.c,complex,22,False,True,"Complex question, RAG triggered",8,1
1.a,simple,8,True,False,"Simple question, direct generation",5,0
1.b,simple,9,True,False,"Simple question, direct generation",5,0
1.c,simple,8,True,False,"Simple question, direct generation",5,0
3,simple,8,False,False,"Simple question, direct generation",5,0
4,complex,22,False,True,"Complex question, RAG triggered",8,1
6.a,simple,12,True,False,"Simple question, direct generation",5,0
6.b,simple,12,True,False,"Simple question, direct generation",5,0
6.c,simple,9,True,False,"Simple question, direct generation",5,0
9,complex,24,True,True,"Complex question, RAG triggered",8,1
11,complex,29,False,True,"Complex question, RAG triggered",8,1
12.a,simple,10,True,False,"Simple question, direct generation",5,0
12.b,simple,10,True,False,"Simple question, direct generation",5,0
12.c,simple,9,True,False,"Simple question, direct generation",5,0
17,complex,24,True,True,"Complex question, RAG triggered",8,1
19,simple,14,False,False,"Simple question, direct generation",5,0
30,simple,13,True,False,"Simple question, direct generation",5,0
33,simple,16,True,False,"Simple question, direct generation",5,0
34,simple,15,False,False,"Simple question, direct generation",5,0
36,simple,17,False,False,"Simple question, direct generation",5,0
38.a,simple,10,True,False,"Simple question, direct generation",5,0
38.b,simple,10,True,False,"Simple question, direct generation",5,0
38.c,simple,11,True,False,"Simple question, direct generation",5,0
40,simple,12,False,False,"Simple question, direct generation",5,0
41,complex,22,True,True,"Complex question, RAG triggered",8,1
47,complex,24,True,True,"Complex question, RAG triggered",8,1
49.a,simple,10,True,False,"Simple question, direct generation",5,0
49.b,simple,13,True,False,"Simple question, direct generation",5,0
49.c,simple,10,True,False,"Simple question, direct generation",5,0
53,simple,18,False,False,"Simple question, direct generation",5,0
57,simple,16,True,False,"Simple question, direct generation",5,0
63,complex,22,False,True,"Complex question, RAG triggered",8,1
67,complex,28,True,True,"Complex question, RAG triggered",8,1
70,simple,18,False,False,"Simple question, direct generation",5,0
71,complex,22,True,True,"Complex question, RAG triggered",8,1
75,complex,27,True,True,"Complex question, RAG triggered",8,1
79,complex,22,True,True,"Complex question, RAG triggered",8,1
91,simple,14,False,False,"Simple question, direct generation",5,0
1,complex,32,False,True,"Complex question, RAG triggered",8,1
3,complex,39,False,True,"Complex question, RAG triggered",8,1
5,simple,17,False,False,"Simple question, direct generation",5,0
6,complex,20,False,True,"Complex question, RAG triggered",8,1
7,complex,53,False,True,"Complex question, RAG triggered",8,1
8,complex,38,False,True,"Complex question, RAG triggered",8,1
9,complex,29,False,True,"Complex question, RAG triggered",8,1
10,complex,27,False,True,"Complex question, RAG triggered",8,1
11,complex,32,False,True,"Complex question, RAG triggered",8,1
12,simple,14,False,False,"Simple question, direct generation",5,0
13,complex,27,False,True,"Complex question, RAG triggered",8,1
14,complex,20,False,True,"Complex question, RAG triggered",8,1
15,complex,34,False,True,"Complex question, RAG triggered",8,1
16,complex,43,False,True,"Complex question, RAG triggered",8,1
17,simple,15,False,False,"Simple question, direct generation",5,0
18,simple,11,False,False,"Simple question, direct generation",5,0
19,simple,18,False,False,"Simple question, direct generation",5,0
20,simple,11,False,False,"Simple question, direct generation",5,0
21,simple,9,False,False,"Simple question, direct generation",5,0
22,simple,12,False,False,"Simple question, direct generation",5,0
23,simple,11,False,False,"Simple question, direct generation",5,0
24,simple,11,False,False,"Simple question, direct generation",5,0
25,simple,11,False,False,"Simple question, direct generation",5,0
26,simple,11,False,False,"Simple question, direct generation",5,0
28,simple,9,False,False,"Simple question, direct generation",5,0
29,complex,20,False,True,"Complex question, RAG triggered",8,1
30,simple,15,False,False,"Simple question, direct generation",5,0
31,simple,17,False,False,"Simple question, direct generation",5,0
32,simple,12,False,False,"Simple question, direct generation",5,0
33,simple,10,True,False,"Simple question, direct generation",5,0
34,simple,9,False,False,"Simple question, direct generation",5,0
35,simple,13,False,False,"Simple question, direct generation",5,0
36,simple,16,False,False,"Simple question, direct generation",5,0
37,simple,12,False,False,"Simple question, direct generation",5,0
38,simple,10,True,False,"Simple question, direct generation",5,0
39,simple,13,False,False,"Simple question, direct generation",5,0
40,simple,15,False,False,"Simple question, direct generation",5,0
41,simple,18,False,False,"Simple question, direct generation",5,0
42,simple,12,False,False,"Simple question, direct generation",5,0
43,simple,14,True,False,"Simple question, direct generation",5,0
44,simple,11,False,False,"Simple question, direct generation",5,0
45,simple,14,False,False,"Simple question, direct generation",5,0
46,simple,19,False,False,"Simple question, direct generation",5,0
47,simple,11,False,False,"Simple question, direct generation",5,0
48,simple,13,False,False,"Simple question, direct generation",5,0
49,simple,12,True,False,"Simple question, direct generation",5,0
50,simple,15,False,False,"Simple question, direct generation",5,0
51,complex,22,False,True,"Complex question, RAG triggered",8,1
52,simple,11,False,False,"Simple question, direct generation",5,0
53,simple,11,False,False,"Simple question, direct generation",5,0
